,B01001_002E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_002E,B03003_003E,B05002_002E,B05002_003E,B05002_004E,B05002_009E,B05002_013E,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B07001_017E,B07001_033E,B07001_049E,B07001_065E,B07001_081E,B08101_001E,B08101_025E,B08101_033E,B08101_049E,B14001_002E,B14001_008E,B14001_009E,B15002_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B17001_002E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B21001_002E,B21001_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B24020_001E,B24020_112E,B24020_131E,B24020_263E,B24020_282E,B25001_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25027_001E,B25027_002E,B25027_010E,B25063_001E,B25064_001E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25088_001E,year
NJ-07,365242,23764,28563,18882,9403,3442,4241,14335,17580,19596,19499,24369,28929,33858,31152,9857,12765,7434,9676,11843,6685,5666,5652,377885,22041,26035,15989,8032,3170,4568,11209,16250,19214,23638,25635,31904,35587,30710,10952,12859,7002,11110,14570,9154,8769,11981,743127,590068,32117,1054,76185,0,27333,16370,658517,84610,603546,420280,173802,9464,139581,513896,28059,110426,106972,154591,113848,669783,27658,22215,9860,5349,378074,26293,5907,22378,190553,30984,9171,513896,71680,38124,10640,9242,82911,41516,7982,6344,35552,265736,8210,4730,6596,8232,7410,6647,6034,6715,5441,15534,21909,31565,28674,21319,29803,56917,101746,23414,62424,102156,161827,360010,633411,25999,546240,595866,406274,406217,385696,20521,57,189592,271658,15069,15169,527,3901,279537,265736,13801,265736,203300,62436,203300,139707,63593,62436,1336,203300,715,156,74,188,89,117,29,269,184,366,344,493,988,2592,1983,3259,3832,13550,20215,42705,31854,46753,17785,9232,2168,2015
NJ-08,383707,23442,19622,11017,8938,4617,5132,16700,39110,38839,35371,26901,26954,24934,20321,7915,9986,5360,5662,8611,4730,4131,3729,383745,21622,20440,12145,6594,3748,5411,15435,38603,37166,31960,24948,25113,25769,22057,7434,11338,6332,7717,9493,7515,6196,7852,767452,431419,80985,3330,64804,772,155560,30582,345352,422100,431585,288680,106550,36355,335867,532047,111286,153114,97958,110308,59381,656127,53559,10810,20477,13950,387483,136263,31582,11249,175755,35859,12174,532047,53968,20762,5772,3055,56340,23320,4223,2249,140586,278454,23665,15054,15490,15336,12376,13336,11514,11820,10768,18123,27461,29065,24219,12410,18140,19677,55090,10674,30249,54732,90569,214933,380004,11693,586852,613395,430314,430237,396661,33576,77,183081,297808,27220,39987,284,11086,303727,278454,25273,278454,73943,204511,73943,51678,22265,204511,1199,73943,1041,148,143,129,139,0,84,41,347,77,156,481,179,1589,1825,4230,2769,7783,10874,18652,8648,8068,3142,2013,2087,2015
NJ-09,371218,24583,23202,15924,11459,5560,4505,14077,25695,25943,28420,23836,23289,26823,26754,7639,11094,6210,11047,11068,8563,4581,5649,389622,24289,21220,12134,9969,5654,5537,15250,26290,25646,26862,27340,26899,27862,27069,11633,13506,8258,10186,14139,10649,7903,9690,760840,424660,78026,2709,107045,328,121968,26104,482991,277849,489629,347941,116035,25653,271211,520543,78720,168677,106275,110529,56342,703762,23868,7924,9445,5435,348695,50349,14209,11178,188552,42871,6505,520543,52715,18297,5753,3466,57814,21916,4635,2275,117655,259420,22171,12940,13049,12258,10086,12173,10367,9848,8042,16619,24258,28396,24187,16823,17539,20664,60867,10565,32636,60470,100560,218829,370453,16362,576093,612046,372727,372628,355006,17622,99,239319,263331,20694,31790,605,13361,285394,259420,25974,259420,124952,134468,124952,78434,46518,134468,1266,124952,807,64,126,0,386,165,107,73,175,705,255,438,248,2310,932,4469,2968,11471,16927,35724,17716,18581,5809,2403,2022,2015
NJ-10,365540,22600,25779,14828,10284,6042,7415,16602,29326,28596,25208,28276,23481,25446,22377,8111,10182,6308,7886,8863,6433,3705,2901,399144,23399,22685,15628,10835,5558,5251,17350,29762,29700,28309,27603,27908,27994,24058,10795,14210,7985,10855,11620,8310,7978,7278,764684,231883,384341,1055,57912,149,71587,17757,605800,158884,539271,375330,144749,19192,225413,511464,77199,166196,126021,90514,51534,661866,58359,12859,14887,7591,344495,91249,16873,9471,202868,47934,12711,511464,39958,17580,4195,2426,50556,20595,3969,2769,143117,272446,30882,15941,16031,15356,15180,14877,12063,10452,9920,19984,24981,28200,21153,11347,12815,13264,47184,8590,25675,47219,79133,191679,355725,18322,571993,611212,399211,398725,352289,46436,486,212001,243384,17281,28291,699,6880,308410,272446,35964,272446,99899,172547,99899,72105,27794,172547,1078,99899,1004,205,139,301,141,0,71,206,259,181,635,892,756,3403,3313,6755,6215,15970,18177,21389,7046,7653,3436,1232,2018,2015
NJ-11,355941,22467,24814,16297,8598,4019,3109,13890,19588,19041,19942,24596,28818,29557,25780,9920,13974,7337,10552,12949,8338,6592,7252,379716,20571,25200,14068,8514,4869,2956,12850,18972,20904,19977,26442,30003,30650,28777,10939,13764,7059,13169,15958,10550,10537,13521,735657,605971,28887,346,71162,63,12005,17223,650968,84689,602534,434212,157840,10482,133123,515458,28714,116872,101873,157617,110382,670890,25568,19097,9619,2475,376098,28028,6391,19124,186647,36047,11077,515458,77024,36477,11914,5605,80593,42437,9569,4380,33529,261271,6970,5771,6266,8411,6055,6009,6704,7161,6530,13766,20602,32387,27987,22706,33727,50219,102205,24010,62796,103360,157714,338456,596810,30093,544144,593542,401845,401819,384266,17553,26,191697,273259,14857,11829,290,2652,279509,261271,18238,261271,199321,61950,199321,136429,62892,61950,1425,199321,698,24,48,31,452,80,263,234,323,720,162,165,645,1124,2159,2770,2080,10444,17701,46617,40741,47078,14712,6455,2274,2015
NJ-12,364980,23166,24198,15382,9308,4925,4388,14546,21314,23305,27844,25325,26544,27577,27678,9175,10947,7116,8296,12330,8574,5430,6331,386670,22637,25645,13267,9911,4153,4460,15704,21223,24067,27139,26051,26075,28952,28359,9398,13584,7962,11863,14375,9393,8144,11358,751650,441526,137082,1099,124079,17,33964,13883,623391,128259,542135,348830,180982,12323,209515,515729,54720,131828,105901,120388,102892,668244,38889,16967,11984,8043,356038,30483,12261,18236,193437,41669,14285,515729,56046,35346,8249,7974,64342,40182,5412,5729,72468,260841,12188,7949,9552,9216,8980,9521,9409,8474,7777,17218,24303,34224,25495,19596,25180,31759,78982,17167,46551,78997,123558,266224,456119,22334,560790,602160,392226,392226,365686,26540,0,209934,254712,17187,15918,372,5606,286792,260841,25951,260841,169911,90930,169911,111809,58102,90930,1269,169911,265,285,338,172,334,665,253,769,1083,1602,1682,2646,1412,4248,3875,6784,7142,18543,18070,36366,25491,26125,7678,2480,1892,2015
NM-01,339946,21603,21530,12761,9344,4917,4518,16292,27002,24657,23206,19176,20650,23209,23304,8670,11800,7470,9024,12293,8293,5728,3698,350625,21389,20654,12893,8914,5981,5823,11370,25702,23413,22718,19754,21248,24357,25626,9643,13875,8518,11207,13529,10925,6749,7625,690571,494308,19820,29784,15629,391,97887,32752,349580,340991,612967,358712,244042,10213,77604,473069,61759,115091,146870,77623,71726,570670,78451,12593,17962,3467,313900,4361,6928,15193,177805,44112,11614,473069,34671,19916,6033,8085,42952,27330,5866,4496,136342,269810,25119,14371,18146,18890,14039,15107,11580,11853,12704,21870,24224,28873,20200,11488,12350,8996,47199,9991,26612,46909,76251,169375,295223,50375,486845,558109,339573,336565,314909,21656,3008,218536,217901,21976,12791,1359,2828,300598,269810,30788,269810,170270,99540,170270,109780,60490,99540,790,170270,3959,1713,734,1486,752,1456,94,1238,1216,2590,1803,4472,3897,13902,16855,20040,17929,23436,16930,19764,6481,5097,2535,1368,1000,2015
NM-02,352839,24991,26758,14141,11595,4511,6607,15473,23523,22887,23020,19965,16706,20887,22755,7626,11711,7522,8989,14824,9150,6098,6428,350888,25608,23434,14045,11396,4985,6427,15976,19001,20397,18132,20399,18305,23195,22373,9345,12020,8249,11851,15038,10419,7577,7985,703727,591395,14291,38006,5702,137,38483,15713,325316,378411,629243,355379,266179,7685,74484,446377,84760,132316,139682,53058,36561,600540,53432,17105,20043,3396,273199,1656,6453,9968,188397,42987,3867,446377,25415,11082,2107,3111,27643,17901,1205,1155,154021,243825,23610,18293,17130,16734,14384,14861,12340,13927,11028,17277,22193,28033,14079,8882,6175,4879,41232,9456,24134,41345,66997,138226,227586,55766,464238,542185,299870,296527,272966,23561,3343,242315,185160,28036,20522,645,3432,304459,243825,60634,243825,167700,76125,167700,84625,83075,76125,726,167700,5476,1421,2205,2006,1924,3876,2237,4868,6587,7034,8269,10880,7110,21774,14113,18097,9235,14452,8676,8124,4882,2879,570,309,588,2015
NM-03,342358,25483,23503,15223,8613,4310,4823,15744,22375,21801,20272,19764,21170,22720,22807,9121,12144,9776,9353,12995,8324,4976,4800,348453,22479,24458,14233,7594,4638,4256,14038,19176,22492,17395,22871,19984,24293,25141,8786,14385,9441,11852,14707,8609,8135,8437,690811,444967,13762,125722,7951,827,75250,22332,408949,281862,645944,397068,242690,6186,44867,458102,65089,122400,145119,67435,58059,596494,49199,17323,17748,2018,290261,2074,6652,17115,179063,34406,8023,458102,29347,16729,4978,5715,38088,22969,3918,3750,127471,248162,26229,15791,13721,13231,13148,14243,10428,10975,9883,19822,24659,27001,17473,11714,10891,8953,48061,8779,26641,47883,77260,169423,292320,44397,474447,542193,320494,317220,291932,25288,3274,221699,200980,21708,14151,1134,3738,309922,248162,61760,248162,175873,72289,175873,93047,82826,72289,843,175873,5516,4198,3026,2442,1733,2947,1138,4379,3497,5083,3831,4112,4873,11762,11496,16727,14605,19033,14901,17690,7694,9019,3171,1422,736,2015
NY-01,361539,20610,22973,16269,10816,6166,4492,14844,21692,18685,18490,26116,28236,30360,26659,8146,14491,6857,11047,14628,9757,5539,5631,365050,20637,23663,14306,10426,4325,4136,15270,17877,18384,20741,25830,27193,29773,26288,10737,12445,9440,12579,16799,9046,8654,10529,726589,629952,40518,1583,26543,0,14747,13246,618716,107873,637995,571417,55039,11539,88594,502649,40734,142263,147321,92838,79493,666031,36767,8534,5487,2128,350387,13884,4936,12756,182233,42683,9433,502649,45250,22902,6695,5428,47588,37218,3699,3551,58542,246721,9744,5963,8051,9862,6965,8196,7187,8014,7638,13461,21599,33427,28816,20628,28260,28910,86645,19175,51744,86545,129805,268303,471023,35642,537023,593090,374220,373761,356128,17633,459,218870,245267,27975,18085,568,2875,310953,246721,64232,246721,197071,49650,197071,134255,62816,49650,1591,197071,443,0,66,328,465,696,242,315,550,575,971,1032,846,2645,1527,4239,4405,17272,22921,51156,35888,30028,11149,4036,2123,2015
NY-02,352397,22006,24090,13331,10237,4490,4923,17220,24896,24437,21822,22649,27376,28584,23533,10502,12082,7184,8039,9705,7127,5432,4052,368641,19078,20165,13881,8210,5776,4088,16524,24318,20691,20186,21855,29178,31242,27143,8969,13095,7824,9757,12459,10711,8121,12840,721038,549498,69345,911,28772,61,45434,27017,556335,164703,586916,534265,36788,15863,134122,495809,59313,152753,135083,86794,61866,666157,26135,13590,3413,3149,364145,37252,5098,6523,179040,41867,10393,495809,41696,18508,4313,1593,45098,31672,4286,1494,46415,216567,7916,4674,5950,7063,6979,5774,6260,6246,5882,13488,19185,30607,25137,19698,26765,24943,89668,20881,55403,89525,133198,239459,361555,28600,538613,586158,392276,392212,370553,21659,64,193882,261561,27464,23106,544,6481,235923,216567,19356,216567,173777,42790,173777,119501,54276,42790,1533,173777,570,0,0,267,119,270,370,471,592,81,276,192,265,1120,1791,2082,3223,11704,20928,66702,38006,19727,3358,1006,2202,2015
NY-03,347461,19061,24480,15279,6790,3069,4329,13571,18907,16516,17275,22828,23606,29909,26458,11043,13979,9103,11017,14414,10087,8537,8465,374303,22216,23436,14461,7827,3220,4233,12346,17548,17494,18760,24177,27709,32462,26554,13315,15092,8645,12423,16871,13281,8992,16091,721764,542349,22897,1092,113195,270,28672,13289,647637,74127,563094,508291,46290,8513,158670,511558,34946,105613,106064,142698,122237,670657,24820,13451,3938,3088,341877,57387,6612,17748,177000,34316,11680,511558,70949,30547,18955,6886,71749,49309,11084,5456,40121,245962,7606,5926,6157,7523,4565,5924,6737,6222,7168,12839,18355,28762,26832,19882,31301,50163,102602,23088,62306,103571,159464,385892,714103,25672,540420,587027,363865,363014,347032,15982,851,223162,247891,16001,13752,420,1981,268352,245962,22390,245962,198803,47159,198803,121420,77383,47159,1794,198803,670,79,204,0,233,0,84,257,293,302,471,310,86,738,830,2752,1852,4861,6719,23071,37033,61397,27446,14670,2410,2015
NY-04,352066,22672,24408,15330,10734,4927,4174,13591,22751,20831,23443,21463,24620,25295,24790,10058,10821,8570,9157,11672,7220,5779,6704,371314,20628,22425,13804,8987,5699,4817,12089,22205,22410,23069,24165,24627,26969,26310,10063,15392,7903,11821,15113,9404,8717,13468,723380,469792,110611,1574,48710,0,67748,24945,573954,149426,558489,506427,41006,11056,164891,494810,53863,125075,114480,111974,89418,665730,28801,12855,5535,3000,357391,63188,8265,12046,181858,41549,9490,494810,54582,23000,11381,2740,57392,41672,7182,3443,46901,230222,6869,5528,6900,7023,6496,6111,6997,6219,5558,13661,18031,28176,26462,21337,31441,33413,97111,22051,58221,96600,144670,284146,470215,22972,536473,579368,384501,384118,365535,18583,383,194867,260615,18647,17446,615,4707,245624,230222,15402,230222,176920,53302,176920,116540,60380,53302,1517,176920,535,103,0,0,58,81,195,719,300,193,85,538,694,865,901,2063,1142,7401,11515,43207,42249,48554,9420,3402,2386,2015
NY-05,373875,22644,25561,15791,10461,6722,5965,17220,32771,25060,23889,21481,24853,25470,25643,10400,13186,7456,7115,10902,7250,4785,3076,406021,22445,22956,16422,9627,5545,5695,17273,33200,27390,24967,25768,28756,32490,28704,11324,12963,8098,10933,12803,10480,7807,7369,779896,138221,384325,2541,107826,61,115142,31780,615045,164851,446084,383088,43905,19091,333812,526389,103908,152520,141939,86268,41754,715763,30037,13623,3760,6266,361475,156723,14514,6815,205866,55420,9830,526389,38741,11799,2425,1610,47527,21490,3100,1330,92757,221213,12243,8272,8895,8612,9389,7541,10107,10201,8835,17656,23670,29930,22529,14190,17098,12045,65012,15177,40184,65151,99756,191160,297002,14833,589855,625786,409261,409052,371482,37570,209,216525,271453,26422,28300,824,5126,239310,221213,18097,221213,123488,97725,123488,88944,34544,97725,1302,123488,988,96,268,424,264,664,629,250,521,309,474,108,307,923,758,950,818,2857,6197,36545,38790,24166,4031,867,2122,2015
NY-06,354991,20533,17753,11562,6430,4403,3200,12014,26777,28139,25146,26219,26054,27649,22518,10140,12044,7189,9873,11933,9714,6472,5480,389571,20278,18276,9273,5972,3669,5075,13507,27970,29412,29288,26871,27409,26725,28139,11258,13813,10040,12645,12806,11990,9692,11779,744562,330300,32212,2407,300927,125,53668,24923,606328,138234,357032,313199,29010,14823,387530,545184,88099,142633,117112,121955,75385,670332,36253,13539,4749,10578,349283,167202,25927,8278,168987,42502,16007,545184,58005,23126,8452,3785,63950,30616,6331,3075,97946,265193,19654,10682,12586,14504,10852,14147,12705,8661,9161,20101,26234,32162,24702,14426,19264,15352,59696,12461,33622,59403,95273,200019,337780,12751,586627,612837,381360,381284,358596,22688,76,231477,261390,18578,20232,607,3842,290190,265193,24997,265193,118230,146963,118230,62777,55453,146963,1463,118230,579,119,223,78,126,89,38,124,413,319,119,240,415,2180,1297,4585,3239,9796,6391,8225,11022,40263,21194,5195,1291,2015
NY-07,376993,28741,21876,14747,7273,4258,4705,19288,40923,36234,33858,25320,23521,19122,19604,6560,8245,5261,5851,8322,5355,4790,3492,376299,23876,21764,11462,8513,5216,4533,19623,35391,33304,31472,23982,24061,21157,17833,9364,9493,6438,7632,11465,7118,7535,6200,753292,371713,76586,3650,140170,208,135667,25298,447925,305367,474643,350670,81857,42116,278649,498903,139235,120395,74724,100650,63899,665812,42046,18038,9896,7160,344933,219498,47435,13273,192557,40509,11122,498903,49274,20387,7229,2422,51376,25216,6007,2638,202237,251708,27098,19484,16534,13522,10487,11805,9444,10654,7715,13579,21933,25284,17750,13156,12490,20773,49420,8753,24823,49798,88506,243902,476588,9025,563251,590218,377676,377640,353073,24567,36,212542,243632,18781,19684,1007,4794,273338,251708,21630,251708,55185,196523,55185,33333,21852,196523,1281,55185,1090,353,24,0,46,0,39,143,375,0,131,200,36,366,86,305,38,927,1053,5239,7737,14424,7912,7104,1873,2015
NY-08,349775,21639,21676,14180,8876,5945,5887,16908,32537,27946,23785,20083,23003,22687,21420,8091,10659,5605,8547,8033,6550,3635,5174,420020,21698,22845,14815,8471,6679,6618,16785,38290,32864,28001,25675,28509,26781,28812,11124,15031,9207,10187,12967,10921,8715,9678,769795,238685,405603,2068,46652,138,59111,17538,631867,137928,508427,404570,76575,27282,261368,524517,89374,148160,124658,102017,60308,692773,38416,14834,7848,6603,340979,204014,18119,13090,195831,50732,11202,524517,44250,18466,3481,1592,57767,29024,4818,2927,167726,278959,37075,19877,15890,13430,12970,13872,11535,10749,8273,19535,21274,29575,22536,13107,15809,13452,47220,7322,23704,47056,83261,189678,333380,13600,586697,621263,385011,384622,349251,35371,389,236252,254255,14711,21733,872,4051,311598,278959,32639,278959,88805,190154,88805,63177,25628,190154,1157,88805,1180,0,148,120,89,55,168,360,405,119,286,229,79,1266,583,1366,978,2426,4059,10879,16134,28330,9361,4490,2049,2015
NY-09,349195,24305,21894,13674,7529,5020,4382,15556,31073,29105,25402,22618,22122,20993,21850,6624,9295,7733,8706,9324,7001,3933,4660,410030,21805,23285,14168,7312,4413,4545,18787,35763,32421,29104,28763,27096,28928,26527,10316,13105,7673,11032,13137,11383,7435,8825,759225,265278,377346,1519,51962,0,44623,18497,665317,93908,451982,350413,81758,19811,307243,521947,77444,136836,112751,113735,81181,682494,41290,11162,8773,6153,355120,230123,26318,15142,194011,43395,15570,521947,51211,25125,8405,3132,62524,36002,5559,2958,145048,281787,28475,17091,15494,13321,13598,14658,12933,10967,11010,19018,27344,28822,22636,12248,16328,17844,51148,9603,28245,51174,86125,213985,400949,11060,578387,608459,392448,392404,363918,28486,44,216011,258217,14712,17922,475,3993,303759,281787,21972,281787,80208,201579,80208,49663,30545,201579,1263,80208,619,75,38,30,0,101,0,124,202,169,74,143,333,1221,1076,1031,839,2900,1591,9261,12817,22538,10559,6981,1792,2015
NY-10,350684,18204,16649,9543,7907,5037,4388,13404,33922,36384,27946,24946,24673,23106,20100,7249,11060,5622,9534,9489,7260,5102,5006,377639,19508,16855,7589,7996,4501,5287,16474,36894,40170,30377,22250,20058,18933,23131,10414,11101,9311,12479,13314,8684,6671,10144,728323,491791,33657,3695,142560,45,37482,19093,639688,88635,494061,315247,157476,21338,234262,525330,67554,73931,67114,165693,151038,616326,55553,11236,24902,10762,376170,203759,75989,25487,162478,41358,18620,525330,81888,42541,16688,9432,83805,53054,19304,10019,123758,311921,21266,13683,13214,12204,10343,11937,9819,7313,7432,16590,21103,29845,29559,18550,26771,62292,81834,13221,41204,82586,144105,458299,959466,11010,579314,601127,405890,405890,384348,21542,0,195237,275819,9315,9337,428,1986,361126,311921,49205,311921,94570,217351,94570,49800,44770,217351,1713,94570,833,176,68,209,184,153,39,485,466,103,40,184,920,1534,102,519,134,1473,1066,4000,5367,18297,21402,14048,1851,2015
NY-11,348721,22700,19732,13046,7334,3237,4735,13210,28177,25805,21332,24975,23053,24585,23374,8825,13519,6912,10868,11457,9328,5359,3471,372712,18467,22176,12353,6951,3975,5619,13524,27193,25815,24228,22989,25063,26417,27227,10611,12984,7948,12660,14289,10489,8299,10092,721433,513534,57266,2257,99361,313,31893,16809,597815,123618,502565,450048,37069,15448,218868,507344,66702,146974,119321,103379,70968,661388,30177,8788,4086,6089,316280,123659,14278,8543,170405,38429,12070,507344,51268,20566,6205,2776,52111,34182,4717,2522,105701,259983,24458,10983,11675,10366,9570,9510,9342,8099,7901,16472,25497,32081,26698,18974,20848,17509,66344,10236,35744,66302,105224,206654,335242,22258,543273,583528,344319,343921,323173,20748,398,239209,237603,22344,17850,589,3103,279355,259983,19372,259983,150673,109310,150673,99657,51016,109310,1273,150673,772,62,61,139,22,224,148,354,247,274,57,146,181,1021,835,1030,1008,5967,8464,27971,30386,45634,16128,6106,1839,2015
NY-12,352827,11285,10299,4606,6581,2312,2174,15399,42938,42187,37641,24477,23637,23234,22801,7913,8902,7172,9486,11975,7351,5501,6327,381119,11865,9348,6508,10989,4074,5125,16960,61854,42600,30341,26791,19807,23274,19216,8147,9626,7470,10795,13322,10323,7371,10389,733946,536679,36162,1445,104451,258,29237,25714,634154,99792,530344,303358,207353,19633,203602,582868,38452,56659,71011,233457,183289,595563,62340,25046,30836,12407,440057,257046,94216,27551,127635,40334,22754,582868,108222,50958,29538,10287,125235,59841,22750,9915,80654,364088,23959,10328,11738,11773,6982,7699,10181,7888,9366,18650,31544,38453,31940,23002,36096,84489,93649,15460,53417,94364,163304,474260,933559,17026,629324,653961,469551,469419,449491,19928,132,184410,348308,7128,7091,0,1878,430694,364088,66606,364088,103788,260300,103788,48747,55041,260300,2016,103788,654,89,401,23,110,235,128,121,0,321,366,255,229,800,129,603,126,795,2072,6003,9126,23020,14612,12207,1672,2015
NY-13,374133,21016,23241,13240,7871,5685,6646,20773,45258,37056,24070,24272,21278,25525,18914,7126,13019,5277,5027,8567,5730,3755,3169,416301,19755,20160,13296,6554,5392,5673,20217,43837,39071,31094,24106,27372,28260,24868,9727,14903,7702,9650,12287,9132,6983,9292,790434,219451,227395,4248,34061,511,254373,50395,360217,430217,506139,372351,96153,37635,284295,546327,145821,115408,112821,100240,72037,696787,39520,21083,11213,12074,361606,255013,34305,18212,194942,43023,23340,546327,44869,20652,5561,4784,55371,30488,5896,4656,215695,285665,41811,26796,18741,14003,16146,14628,12344,11686,9543,20974,25944,25535,18330,9841,9466,9877,39258,6984,19778,39438,67678,166237,311329,12981,612125,641648,414919,414887,370918,43969,32,226729,246247,12205,20781,478,3898,306558,285665,20893,285665,26936,258729,26936,14063,12873,258729,1127,26936,240,216,341,353,483,621,40,504,386,232,190,72,126,299,358,379,692,908,1949,3872,4083,3239,2285,2570,1424,2015
NY-14,360176,20406,21374,10962,7560,4643,3623,17081,31205,32467,30729,29752,25365,24834,20948,9413,9623,5718,7957,8035,7604,4890,2523,360514,19191,18138,12684,7489,4082,5013,16632,28522,29943,27227,25601,22398,24673,22583,8310,10221,7447,9879,11593,9692,7559,8850,720690,317188,78275,5222,128169,203,169253,22380,378205,342485,390098,321870,37790,30438,330592,505561,123977,150034,102369,86227,42954,647555,37329,15793,5717,7045,342279,206894,21934,7346,169962,41270,11366,505561,43439,15200,3715,1428,42788,17695,3199,1717,121183,242909,17040,12586,14499,10894,10889,14417,12577,10175,11768,19985,28982,27635,20366,12079,11283,7734,52346,12082,31822,52654,80498,164972,272232,13406,558091,587905,375915,375728,351101,24627,187,211990,254723,22431,29342,379,5489,264250,242909,21341,242909,76006,166903,76006,44451,31555,166903,1389,76006,615,94,131,379,162,129,145,80,183,105,67,647,492,2431,1380,2718,1783,4482,4121,9206,10771,24030,9289,1926,1386,2015
NY-15,356939,29540,30241,16660,12152,8507,7018,17816,32184,26997,20809,19206,22687,20118,19416,5468,8078,4272,5945,6312,6736,2435,1768,405611,27740,30404,17307,13089,6408,7296,19161,35860,30271,28452,22774,29076,25504,22053,7987,8851,7731,7861,11317,7935,4255,5597,762550,108156,236414,3916,13264,0,378686,22114,258896,503654,485920,392741,34531,58648,276630,457955,165352,125395,103724,47867,15617,697810,32820,11164,4533,5074,280777,187428,23824,8777,230937,50616,4544,457955,19353,4234,472,723,28514,8327,729,1132,285896,253192,54243,25723,22601,19402,17878,13082,12217,11942,8748,16420,17099,16471,6945,4361,3453,2607,26047,5497,14194,26081,45453,108049,190668,9865,539310,572738,326042,325815,289011,36804,227,246696,196139,16429,20675,528,4802,267658,253192,14466,253192,22598,230594,22598,14297,8301,230594,1026,22598,530,260,704,60,304,416,109,635,0,150,0,155,64,375,471,736,423,1331,1146,5447,5441,3454,287,0,1518,2015
NY-16,355924,25388,23751,15529,10335,4831,5331,15391,22376,21442,19725,24854,25954,26469,21990,7735,11911,6284,10787,11569,9656,5256,5683,392799,21494,23251,13499,9659,4232,4983,15321,21363,22563,28465,28015,27174,27378,26157,9193,14143,8305,11661,14345,13743,9690,13715,748723,359837,248095,3358,37706,236,74314,25177,562678,186045,518212,410438,78024,29750,230511,507601,76698,119906,114706,104156,92135,671252,39139,17155,7293,5469,344408,124657,18482,14739,191014,39579,11449,507601,44169,24724,10508,4312,59987,39053,9518,4020,100370,261213,21662,11919,12152,10151,11978,8689,8734,8803,9771,16934,22373,27404,22666,16331,19511,32135,66325,11319,35893,66188,113583,328667,690781,21009,556638,596776,381465,381428,352738,28690,37,215311,245893,17223,14736,218,2610,283211,261213,21998,261213,127623,133590,127623,79006,48617,133590,1265,127623,775,574,1619,1694,591,895,313,746,909,932,567,1535,755,3844,2816,4412,3112,5861,5188,20864,16381,25865,11487,7552,2122,2015
NY-17,365104,25381,26550,17394,9897,4325,5061,14474,23047,21377,23963,22606,24623,26302,26655,9300,12429,6673,9185,12053,9205,5548,5240,377447,24077,25863,15434,9045,5385,3891,14905,21407,21132,20712,21202,26983,28548,27994,9605,13411,7794,11016,14374,11562,8232,12450,742551,517099,78019,2395,46353,163,74548,23974,577515,165036,569781,469009,86781,13991,172770,494628,64213,103752,107175,112540,106948,666481,39332,15812,8426,3711,353571,46051,17761,18130,206452,43311,11452,494628,55659,29830,12895,4797,56881,47705,7289,4432,77273,245245,10567,7747,9319,9576,8562,7860,6952,8783,5572,12815,18525,26863,26537,19684,26045,39838,89905,17334,48758,88996,140494,328525,607560,22316,539141,581668,384800,384646,361090,23556,154,196868,245406,16442,13989,438,1270,262202,245245,16957,245245,160460,84785,160460,108798,51662,84785,1440,160460,547,40,376,0,327,219,86,282,115,483,735,733,757,1998,1942,2791,2694,7791,8771,30868,30660,42959,14286,6296,2468,2015
